price,date
36454.79,2021-06-18 21:31:14
36454.0,2021-06-18 21:31:16
36454.0,2021-06-18 21:31:18
36452.81,2021-06-18 21:31:19
36452.81,2021-06-18 21:31:21
36453.24,2021-06-18 21:31:23
36455.81,2021-06-18 21:31:26
36455.81,2021-06-18 21:31:27
36455.85,2021-06-18 21:31:29
36455.85000000,2021-06-18 21:31:31
